2019.07.10 11:30:20 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarXML / 2.0.1.2020 / c5b84004face582d56f110e24c29bf9c6a679e69
2019.07.10 11:30:20 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Svn / 1.9.0.1295 / 942e075773975354e32691a60bfd968065703e04
2019.07.10 11:30:32 INFO  web[][o.s.s.p.d.m.AutoDbMigration] Automatically perform DB migration on fresh install
2019.07.10 11:30:32 INFO  web[][o.s.s.p.Platform] Database has been automatically updated
2019.07.10 11:30:33 WARN  web[][o.a.c.u.SessionIdGeneratorBase] Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [126] milliseconds.
2019.07.10 11:30:33 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@4ecbd794 [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/properties*, ...]}]
2019.07.10 11:30:33 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2019.07.10 11:30:35 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2019.07.10 11:30:36 INFO  web[][o.s.s.e.IndexCreator] Create index [metadatas]
2019.07.10 11:30:39 INFO  web[][o.s.s.e.IndexCreator] Create type metadatas/metadata
2019.07.10 11:30:39 INFO  web[][o.s.s.e.IndexCreator] Create index [components]
2019.07.10 11:30:42 INFO  web[][o.s.s.e.IndexCreator] Create type components/auth
2019.07.10 11:30:42 INFO  web[][o.s.s.e.IndexCreator] Create index [projectmeasures]
2019.07.10 11:30:45 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/auth
2019.07.10 11:30:45 INFO  web[][o.s.s.e.IndexCreator] Create index [rules]
2019.07.10 11:30:46 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2019.07.10 11:30:47 INFO  web[][o.s.s.e.IndexCreator] Create index [issues]
2019.07.10 11:30:49 INFO  web[][o.s.s.e.IndexCreator] Create type issues/auth
2019.07.10 11:30:49 INFO  web[][o.s.s.e.IndexCreator] Create index [users]
2019.07.10 11:30:50 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2019.07.10 11:30:50 INFO  web[][o.s.s.e.IndexCreator] Create index [views]
2019.07.10 11:30:53 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2019.07.10 11:30:53 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AWvaeBxz34C9iLWC3fgr
